step,time_hours,time_seconds,time_minutes,Explore-Inner_P_load_kW,Explore-Inner_P_pv_kW,Explore-Inner_P_station_used_kW,Explore-Inner_P_bat_kW,Explore-Inner_unmet_kW,Explore-Mid_P_load_kW,Explore-Mid_P_pv_kW,Explore-Mid_P_station_used_kW,Explore-Mid_P_bat_kW,Explore-Mid_unmet_kW,Explore-Outer_P_load_kW,Explore-Outer_P_pv_kW,Explore-Outer_P_station_used_kW,Explore-Outer_P_bat_kW,Explore-Outer_unmet_kW,Drone-3m_P_load_kW,Drone-3m_P_pv_kW,Drone-3m_P_station_used_kW,Drone-3m_P_bat_kW,Drone-3m_unmet_kW,Drone-6m_P_load_kW,Drone-6m_P_pv_kW,Drone-6m_P_station_used_kW,Drone-6m_P_bat_kW,Drone-6m_unmet_kW,Drone-9m_P_load_kW,Drone-9m_P_pv_kW,Drone-9m_P_station_used_kW,Drone-9m_P_bat_kW,Drone-9m_unmet_kW
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53428,0.0,0.0,0.53428,0.0,0.02553,0.0,0.0,0.02553,0.0,0.011,0.0,0.0,0.011,0.0,0.016,0.0,0.0,0.016,0.0,0.016,0.0,0.0,0.016,0.0
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.53428,0.0,0.0,0.53428,0.0,0.02553,0.0,0.0,0.02553,0.0,0.011,0.0,0.0,0.011,0.0,0.016,0.0,0.0,0.016,0.0,0.016,0.0,0.0,0.016,0.0
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.53428,0.0,0.0,0.53428,0.0,0.02553,0.0,0.0,0.02553,0.0,0.010999999999999998,0.0,0.0,0.010999999999999998,0.0,0.016,0.0,0.0,0.016,0.0,0.016,0.0,0.0,0.016,0.0
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.0,0.0,0.0,0.0,0.0,0.53428,0.0,0.0,0.53428,0.0,0.02553,0.0,0.0,0.02553,0.0,0.011,0.0,0.0,0.011,0.0,0.016,0.0,0.0,0.016,0.0,0.016,0.0,0.0,0.016,0.0
4,0.00011111111111111112,0.4,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.53428,0.0,0.0,0.53428,0.0,0.02553,0.0,0.0,0.02553,0.0,0.011000000000000001,0.0,0.0,0.011000000000000001,0.0,0.016,0.0,0.0,0.016,0.0,0.016,0.0,0.0,0.016,0.0
5,0.0001388888888888889,0.5,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.53428,0.0,0.0,0.53428,0.0,0.02553,0.0,0.0,0.02553,0.0,0.011,0.0,0.0,0.011,0.0,0.016,0.0,0.0,0.016,0.0,0.016,0.0,0.0,0.016,0.0
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.53428,0.0,0.0,0.53428,0.0,0.02553,0.0,0.0,0.02553,0.0,0.011,0.0,0.0,0.011,0.0,0.016,0.0,0.0,0.016,0.0,0.016,0.0,0.0,0.016,0.0
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.0,0.0,0.0,0.0,0.0,0.53428,0.0,0.0,0.53428,0.0,0.02553,0.0,0.0,0.02553,0.0,0.011,0.0,0.0,0.011,0.0,0.016,0.0,0.0,0.016,0.0,0.016,0.0,0.0,0.016,0.0
8,0.00022222222222222223,0.8,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.53428,0.0,0.0,0.53428,0.0,0.02553,0.0,0.0,0.02553,0.0,0.011,0.0,0.0,0.011,0.0,0.016,0.0,0.0,0.016,0.0,0.016,0.0,0.0,0.016,0.0
9,0.00025,0.9,0.015000000000000001,0.0,0.0,0.0,0.0,0.0,0.53428,0.0,0.0,0.53428,0.0,0.02553,0.0,0.0,0.02553,0.0,0.011,0.0,0.0,0.011,0.0,0.016,0.0,0.0,0.016,0.0,0.016,0.0,0.0,0.016,0.0
